# Verified first-party/current-opening source candidates. Format: Company|URL
Rapyd|https://www.rapyd.net/company/careers-search/
Realtek|https://recruit.realtek.com/Job/Search?lang=en
Reckitt|https://careers.reckitt.com/
redBus|https://redbus.hire.trakstar.com/jobs
RELX|https://relx.wd3.myworkdayjobs.com/relx
ResMed|https://resmed.wd3.myworkdayjobs.com/ResMed_External_Careers
Reverie Language Technologies|https://careers.reverieinc.com/reverieinc/
Rockstar India|https://www.rockstargames.com/careers/offices/rockstar-india
Saankhya Labs|https://iablcp.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/TejasNetworks/jobs
Safe Security|https://jobs.lever.co/safe/
Saks Global|https://careers.saksglobal.com/us/en/search-results
Samsara|https://www.samsara.com/company/careers/roles
Samsung R&D Institute India|https://sec.wd3.myworkdayjobs.com/Samsung_Careers
Santander|https://santander.wd3.myworkdayjobs.com/en/SantanderCareers
Sarvam AI|https://www.sarvam.ai/careers
Sasken Technologies|https://careers.sasken.com/tb/saskenjobs/
SatSure|https://satsure.keka.com/careers
SBI General Insurance|https://www.sbigeneral.in/current-opening
Schaeffler|https://jobs.schaeffler.com/
Scopely|https://careers.scopely.com/us/en/search-results
Sea Limited|https://career.sea.com/jobs
Seclore|https://www.seclore.com/about/careers/
Setu|https://setu.co/careers/
Shadowfax|https://www.shadowfax.in/careers
Shopee|https://careers.shopee.sg/jobs
Signalchip|https://www.signalchip.com/job-openings/
SiMa.ai|https://jobs.jobvite.com/simaai/jobs
Skit.ai|https://skit.ai/careers/
SLB|https://apply.slb.com/careers?domain=slb.com&query=%2A
Smarsh|https://jobs.lever.co/smarsh
Sonata Software|https://sonataone.darwinbox.in/ms/candidate/
Sony India Software Centre|https://careers.sonyindiasoftware.co.in/sonyindiasoftware/
Spinny|https://www.spinny.com/careers/
SpotDraft|https://jobs.ashbyhq.com/spotdraft
Sprinklr|https://sprinklr.wd1.myworkdayjobs.com/careers
SS&C Technologies|https://wd1.myworkdaysite.com/recruiting/ssctech/SSCTechnologies
Stellantis|https://stellantis.wd3.myworkdayjobs.com/External_Career_Site_ID01
Sumo Digital India|https://www.sumo-digital.com/careers/
Sun Life Global Solutions|https://sunlife.wd3.myworkdayjobs.com/Experienced-Jobs
Sun Pharma|https://jobs.sunpharma.com/en/search-jobs
Syneos Health|https://syneoshealth.wd12.myworkdayjobs.com/Syneos_Health_External_Site
Tata 1mg|https://www.1mg.com/jobs
Tata Elxsi|https://www.tataelxsi.com/careers/job-openings
Tata Motors|https://careers.tatamotors.com/
Temenos|https://temenos.wd103.myworkdayjobs.com/Temenoscareers
Tenstorrent|https://job-boards.greenhouse.io/tenstorrent
Tessolve|https://tessolve.darwinbox.com/ms/candidatev2/main/careers/allJobs
Teva Pharmaceuticals|https://www.careers.teva/
The Coca-Cola Company|https://careers.coca-colacompany.com/
TheMathCompany|https://mathco-careers.peoplestrong.com/job/joblist
Thomson Reuters|https://careers.thomsonreuters.com/us/en/search-results
TIAA|https://careers.tiaa.org/jobs
Transamerica|https://transamerica.wd5.myworkdayjobs.com/US
Trip.com Group|https://careers.trip.com/
Ubisoft India|https://www.ubisoft.com/en-us/company/careers/search?cities=Mumbai
UBS|https://www.ubs.com/global/en/careers/search-jobs.html
Unbox Robotics|https://unboxrobotics.com/careers
Unicommerce|https://services.unicommerce.com/aboutus/careers
Unilever|https://careers.unilever.com/en
Verint|https://fa-epcb-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Viatris|https://viatris.wd5.myworkdayjobs.com/External
Victoria’s Secret & Co.|https://careers.victoriassecret.com/en/
Volvo Cars|https://jobs.volvocars.com/go/All-Jobs/3823101/
Voya India|https://www.voyaindia.com/career/
Vymo|https://vymo.com/careers/
Waters Corporation|https://internationalcareers-waters.icims.com/jobs/intro
Westpac|https://ebuu.fa.ap1.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/jobs
Wix|https://careers.wix.com/positions
Wolters Kluwer|https://wk.wd3.myworkdayjobs.com/External
Wysa|https://www.wysa.com/careers
Zetwerk|https://www.zetwerk.com/careers/
Zluri|https://www.zluri.com/careers
Zurich Insurance Group|https://www.careers.zurich.com/
Zynga India|https://job-boards.greenhouse.io/zyngacareers
